POLICY_ID,SOURCE_FILE,PAGE_NUMBER,CHUNK_ID,CHUNK_TEXT
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,1,dd2a6f1d-d6df-4434-b790-d93071d1230e,"5
"
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,2,f5e8ee50-664b-4197-adf1-39c0db862024,"Dear Boston,
I’m excited to present the City’s Plan for a Safe, Healthy, and Active Summer.
Hopefully, it looks familiar. After all, you helped us make it! Together with our
Community Safety Team and Offices and Departments across the City, all of
you—faith leaders and community advocates, educators and coaches, parents and
students—contributed to the most thorough summer safety plan community
engagement process Boston has ever seen.
Through more than 25 meetings across nine neighborhoods, this summer’s plan was
informed by resident insights and experiences at every step of the way. Because safety
is personal—it means something a little different for every person. To truly make
Boston safe for all of us, we knew we needed a plan built by all of us.
Safety, justice, and peace are not seasonal projects. This summer safety plan is the
foundation for our ongoing, year-round efforts to address the root causes of violence
through a public health lens, and create the conditions for healing. T"
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,2,2a0650d7-6512-4a42-95ec-7a06b215d4d8,"ogether, thanks to
you, we are creating a Boston where every community is whole.
With love and gratitude,
Michelle Wu
Mayor Of Boston
2
"
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,3,5e6026ea-6874-42d4-b61b-b939e448d45e,"TABLE OF CONTENT
COMMUNITY SAFETY TEAM...........................................................................................................................................6
OUR PLAN TO END VIOLENCE....................................................................................................................................... 7
INNOVATIVE FRAMEWORK AND INNOVATIVE SOLUTIONS............................................................................ 8
SIX GOALS OF THE SUMMER....................................................................................................................................... 10
PREVENTION.........................................................................................................................................................................11
FutureBOS........................................................................................................................................................11
Boston Public Schools “Summ"
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,3,f0971b72-6107-40be-8910-0bb1c0a5c8aa,"er Stuff”.................................................................................................... 11
●Summer Mental Health Services.....................................................................................................11
●Summer Eats........................................................................................................................................ 11
●Summer Jobs, Internships and Volunteering Opportunities................................................... 11
●Summer Learning................................................................................................................................11
●Exam School Initiative....................................................................................................................... 11
●Extended School Year....................................................................................................................... 12
●BPS Division of Student Support “Summer Fun”........"
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,3,5732b77b-599a-47bf-aeb1-aa50ed845d17,"................................................................12
●Community Connection Coordinators......................................................................................... 12
Human Services Cabinet............................................................................................................................. 12
BCYF SUMMER PROGRAMMING..............................................................................................................13
●BCYF SuperTeens JULY 8 - AUGUST 16........................................................................................13
●BCYF Camp Joy JULY 8 - AUGUST 2.............................................................................................13
●BCYF Girls Leadership Corps JULY - AUGUST........................................................................... 13
●Girls Nights..................................................................................................................................."
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,3,e3fdcccd-7d48-4d68-b3a8-9b67110de9fb,"....... 13
●BCYF Snap Shot Teen Photography Program JULY 5 - AUGUST 16...................................... 13
●BCYF Fun Fests JULY - AUGUST.....................................................................................................13
●Licensed Day Programs and Camps.............................................................................................. 14
●Youth and Teen Summer Recreational Programs (Municipally Exempt Certification)... 14
Youth Engagement & Advancement.........................................................................................................14
●Community Events Calendar...........................................................................................................14
●Boston After Dark: JUNE 21-AUGUST 30..................................................................................... 14
●Fill the Gap week(s): June 22-July 7th, and August 17-31st, 2024............................................ 14
●Youth Mental Health and Y"
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,3,b17fbc62-197f-410f-ba23-0c606e8cf76f,"outhLine Resource Connection....................................................14
PARKS AND RECREATION...........................................................................................................................15
Sports Centers........................................................................................................................................15
Parkarts Performing Arts.....................................................................................................................16
Parkarts Participatory Arts..................................................................................................................16
ParkActive................................................................................................................................................ 17
Boston Housing Authority...........................................................................................................................17
●Youth Employment....."
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,3,73504206-d8f3-4ee2-b5e3-ac7ae9181e04,"........................................................................................................................17
●Youth Programming...........................................................................................................................17
●Unity Days............................................................................................................................................18
●Targeted Summer Programming - Mildred Hailey and Franklin Field Youth Centers..... 18
Equity and Inclusion Cabinet.....................................................................................................................18
3
"
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,4,811d2ef4-0e5b-4762-b61f-8c82d7ee0701,"Black Male Advancement............................................................................................................................ 18
Youth Employment................................................................................................................................18
LGBTQ+ Advancement.................................................................................................................................18
●Reimagining Community Policing..................................................................................................18
●Monthly Public Safety Meeting.......................................................................................................19
●Boston Pride Celebration.................................................................................................................19
Immigrant Advancement..........................................................................................................................."
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,4,7a28b6b9-9edb-499c-8cd4-4fa77f542bc4,"..19
●Youth Work-Experience Opportunity.......................................................................................... 19
Boston Police Department (Local Districts & Bureau of Community Engagement)....................19
COMMUNITY BUILDING &
EMPOWERMENT INITIATIVES........................................................................................................................20
Open Streets Boston................................................................................................................................... 20
City Hall Plaza Activations.......................................................................................................................... 21
Adopt a Block..................................................................................................................................................21
SUMMER 2024 UNITY WALK SCHEDULE.......................................................................................21
Violence Int"
P002,2024-Plan-for-Safe-Healthy-Active-Summer-2024.pdf,4,473b49b6-394a-48dc-9c62-6726250e9f9e,"ervention and Prevention (VIP) Initiative........................................................................ 22
INTERVENTION...................................................................................................................................................................22
BPS Division of Intensive Student Support............................................................................................22
Youth Options Unlimited (YOU) Boston:................................................................................................22
PowerCorps Green Jobs..............................................................................................................................23
Grassroots:..................................................................................................................................................... 23
Operation Exit........................................................................................................."
