POLICY_ID,SOURCE_FILE,PAGE_NUMBER,CHUNK_ID,CHUNK_TEXT
P004,S2525.pdf,1,414a2b71-9883-4a0d-9f7e-bc240009828f,"SENATE. .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  No. 2525 
Senate, May 22, 2025 – Text of the Senate amendment to the House Bill making appropriations for 
the fiscal year 2026 for the maintenance of the departments, boards, commissions, institutions and 
certain activities of the commonwealth, for interest, sinking fund and serial bond requirements and 
for certain permanent improvements (House, No. 4001) (being the text of Senate, No. 3, printed as 
amended). 
 
The Commonwealth of Massachusetts 
 
_______________ 
In the One Hundred and Ninety-Fourth General Court 
(2025-2026) 
_______________ 
SECTION 1. To provide for the operations of the several departments, boards, commissions and institutions of 
the commonwealth and other services of the commonwealth and for certain permanent improvements and to meet 
certain requirements of law, the sums set forth in this act, for the several purposes and subject to the conditions 
specified, are hereby appropriated from the General Fund"
P004,S2525.pdf,1,dce4813d-ee74-481d-8e91-a376cd359438," unless specifically designated otherwise, subject to the 
laws regulating the disbursement of public funds and the approval thereof for the fiscal year ending June 30, 2026. 
All sums appropriated under this act, including supplemental and deficiency budgets, shall be expended in a 
manner reflecting and encouraging a policy of nondiscrimination and equal opportunity for members of minority 
groups, women and persons with a disability. All officials and employees of an agency, board, department, 
commission or division receiving funds under this act shall take affirmative steps to ensure equality of opportunity 
in the internal affairs of state government and in their relations with the public, including those persons and 
organizations doing business with the commonwealth. Each agency, board, department, commission and division 
of the commonwealth, in spending appropriated sums and discharging its statutory responsibilities, shall adopt 
measures to ensure equal opportunity in the a"
P004,S2525.pdf,1,f1e700f2-5c4a-496b-b73e-244a77be8fdd,"reas of hiring, promotion, demotion or transfer, recruitment, layoff 
or termination, rates of compensation, in-service or apprenticeship training programs and all other terms and 
conditions of employment. 
SECTION 1A. In accordance with Articles LXIII and CVII of the Articles of Amendment to the Constitution of 
the Commonwealth and section 6D of chapter 29 of the General Laws, it is hereby declared that the amounts of 
revenue set forth in this section, by source, for the respective funds of the commonwealth for the fiscal year ending 
June 30, 2026 are necessary and sufficient to provide the means to defray the appropriations and expenditures 
from such funds for fiscal year 2026 as set forth and authorized in this act. The comptroller shall keep a distinct 
account of actual receipts from each such source by each such fund to furnish the executive office for 
administration and finance and the house and senate committees on ways and means with quarterly statements 
"
P004,S2525.pdf,2,6a293a5c-a7a2-462b-9953-a280530d4917,"comparing those receipts with the projected receipts set forth in this section and shall include a full statement 
comparing the actual and projected receipts in the annual report for fiscal year 2026 pursuant to section 12 of 
chapter 7A of the General Laws. The quarterly and annual reports shall also include detailed statements of any 
other sources of revenue for the budgeted funds in addition to those specified in this section. 
Revenue Source 
All 
Budgeted 
Funds 
General 
Fund 
Commonwealth 
Transportation 
Fund 
Other 
Major 
Funds 
Other 
Funds 
Alcoholic Beverages 
$98.1 
$98.1 
$0.0 
$0.0 
$0.0 
Banks 
$18.7 
$18.7 
$0.0 
$0.0 
$0.0 
Cigarettes 
$262.3 
$262.3 
$0.0 
$0.0 
$0.0 
Corporations 
$4,078.2 
$4,078.2 
$0.0 
$0.0 
$0.0 
Deeds 
$376.8 
$376.8 
$0.0 
$0.0 
$0.0 
Fair Share Income Surtax 
$2,400.0 
$1,800.0 
$600.0 
$0.0 
$0.0 
Income 
$24,240.0 
$24,240.0 
$0.0 
$0.0 
$0.0 
Inheritance and Estate 
$517.0 
$517.0 
$0.0 
$0.0 
$0.0 
Insurance 
$784.3 
$757.3 
$0.0 
$0."
P004,S2525.pdf,2,5acbfe68-2921-4043-986e-6e1f404ac201,"0 
$27.0 
Marijuana Excise 
$185.9 
$0.0 
$0.0 
$185.9 
$0.0 
Motor Fuel 
$742.2 
$0.0 
$741.2 
$0.0 
$1.0 
Public Utilities 
$0.0 
$0.0 
$0.0 
$0.0 
$0.0 
Room Occupancy 
$265.0 
$265.0 
$0.0 
$0.0 
$0.0 
Sales - Regular 
$6,727.0 
$4,438.3 
$0.0 
$0.0 
$2,288.7 
Sales - Meals 
$1,725.0 
$1,725.0 
$0.0 
$0.0 
$0.0 
Sales - Motor Vehicles 
$1,181.0 
$0.0 
$779.2 
$0.0 
$401.8 
Miscellaneous 
$12.6 
$12.6 
$0.0 
$0.0 
$0.0 
Fiscal Year 2026 Base Tax Revenue Estimate 
$43,614.0 
$38,589.2 
$2,120.4 
$185.9 
$2,718.5 
  
  
  
  
  
  
Statutory Tax Transfers 
  
  
  
  
  
Annual Contribution to the State Pension System 
-$4,334.2 
-$4,334.2 
$0.0 
$0.0 
$0.0 
Excess Capital Gains to State Pension System 
-$599.0 
-$599.0 
$0.0 
$0.0 
$0.0 
Sales Tax Transfer to the MBTA 
-$1,425.3 
$0.0 
$0.0 
$0.0 
-$1,425.3 
Sales Tax Transfer to the MSBA 
-$1,265.3 
$0.0 
$0.0 
$0.0 
-$1,265.3 
"
P004,S2525.pdf,3,f95c2066-d89d-457c-b509-b8f1a79faa94,"UI Surcharge to the Workforce Training Trust Fund 
-$27.0 
$0.0 
$0.0 
$0.0 
-$27.0 
Fair Share Surtax to Education and Transportation 
Fund 
-$1,185.0 
-$1,185.0 
$0.0 
$0.0 
$0.0 
Fair Share Surtax to Education and Transportation 
Reserves 
-$615.0 
-$615.0 
$0.0 
$0.0 
$0.0 
Excess Capital Gains to the Stabilization Fund 
-$33.3 
-$33.3 
$0.0 
$0.0 
$0.0 
Excess Capital Gains to the State Retiree Benefits 
Trust Fund 
-$33.3 
-$33.3 
$0.0 
$0.0 
$0.0 
Total Statutory Tax Transfers 
-$9,517.3 
-$6,799.7 
$0.0 
$0.0 
-$2,717.6 
  
  
  
  
  
  
Total Fiscal Year 2026 Consensus Tax Revenue 
Available for Budget 
$34,096.7 
$31,789.4 
$2,120.4 
$185.9 
$1.0 
  
  
  
  
  
  
Tax Initiatives and Other Tax Revenue 
  
  
  
  
  
Tax-Related Settlements & Judgments 
$50.0 
$50.0 
$0.0 
$0.0 
$0.0 
Total Tax Initiatives and Other Tax Revenue 
$50.0 
$50.0 
$0.0 
$0.0 
$0.0 
  
  
  
  
  
  
Total Taxes for Budget 
$34,146.7 
$31,839.4 
$2,120.4 
$185.9 
$1.0 
  
  
  
  
  
  
Non-Tax R"
P004,S2525.pdf,3,83233e5b-3a16-41af-b21f-9306b623dfc0,"evenue 
  
  
  
  
  
Federal Reimbursements 
$15,759.3 
$15,750.8 
$0.0 
$0.0 
$8.4 
Departmental Revenues 
$6,517.0 
$5,759.8 
$695.5 
$49.8 
$11.9 
Consolidated Transfers 
$4,830.6 
$3,183.8 
$85.4 
$319.8 
$1,241.7 
Total Non-Tax Revenue 
$27,106.8 
$24,694.4 
$780.8 
$369.5 
$1,262.0 
  
  
  
  
  
  
Fiscal Year 2026 Grand Total 
$61,253.5 
$56,533.8 
$2,901.2 
$555.5 
$1,263.0 
 
SECTION 1B. The comptroller shall keep a distinct account of actual receipts of non-tax revenues by each 
department, board, commission or institution to furnish the executive office for administration and finance and 
the house and senate committees on ways and means with quarterly statements comparing those receipts with 
projected receipts set forth in this section and to include a full statement comparing those receipts with projected 
receipts in the annual report for the fiscal year pursuant to section 12 of chapter 7A of the General Laws. The 
"
P004,S2525.pdf,4,5d5f42d9-9db8-49ed-a6b7-653b2520b578,"quarterly and annual reports shall also include detailed statements of any other sources of revenue for the budgeted 
funds in addition to those sources specified in this section. 
Non-Tax Revenue: Department 
Summary 
Federal Revenues 
Departmental 
Revenues 
Budgeted 
Transfers 
Total 
Unrestricted 
Total 
Restricted 
Judiciary 
  
  
  
  
  
Supreme Judicial Court 
$0 
$2,183,220 
$0 
$2,183,220 
$0 
Committee for Public Counsel 
$0 
$3,275,000 
$0 
$3,275,000 
$0 
Appeals Court 
$0 
$315,317 
$0 
$315,317 
$0 
Trial Court 
$0 
$61,634,000 
$0 
$61,634,000 
$0 
Total 
$0 
$67,407,537 
$0 
$67,407,537 
$0 
District Attorneys 
  
  
  
  
  
Middlesex District Attorney's Office 
$0 
$0 
$0 
$0 
$0 
Worcester District Attorney's Office 
$0 
$5,000 
$0 
$5,000 
$0 
Plymouth District Attorney's Office 
$0 
$1,000 
$0 
$1,000 
$0 
Total 
$0 
$6,000 
$0 
$6,000 
$0 
Secretary of the Commonwealth 
  
  
  
  
  
Secretary of the Commonwealth 
$0 
$296,118,673 
$0 
$295,603,673 
$515,000 
T"
P004,S2525.pdf,4,5ecd67b2-b8f7-40fc-82c4-faa76953ee3f,"otal 
$0 
$296,118,673 
$0 
$295,603,673 
$515,000 
Treasurer and Receiver General 
  
  
  
  
  
Office of the Treasurer 
$0 
$549,245,500 
$604,814,937 
$1,123,710,437 
$30,350,000 
Massachusetts Cultural Council 
$0 
$16,000 
$0 
$16,000 
$0 
State Lottery Commission 
$0 
$115,707,006 $1,238,645,216 
$1,354,352,222 
$0 
Total 
$0 
$664,968,506 $1,843,460,153 
$2,478,078,659 
$30,350,000 
Attorney General 
  
  
  
  
  
Office of the Attorney General 
$4,426,908 
$51,942,184 
$0 
$48,960,797 
$7,408,295 
Total 
$4,426,908 
$51,942,184 
$0 
$48,960,797 
$7,408,295 
State Ethics Commission 
  
  
  
  
  
State Ethics Commission 
$0 
$0 
$0 
$0 
$0 
Total 
$0 
$0 
$0 
$0 
$0 
Inspector General 
  
  
  
  
  
"
P004,S2525.pdf,5,63632451-ba6a-4d7d-aa8d-c0bacd674b65,"Office of the Inspector General 
$0 
$1,680,000 
$0 
$0 
$1,680,000 
Total 
$0 
$1,680,000 
$0 
$0 
$1,680,000 
Office of Campaign and Political 
Finance 
  
  
  
  
  
Office of Campaign and Political 
Finance 
$0 
$54,500 
$0 
$54,500 
$0 
Total 
$0 
$54,500 
$0 
$54,500 
$0 
Massachusetts Commission 
Against Discrimination 
  
  
  
  
  
Massachusetts Commission Against 
Discrimination 
$2,500,000 
$440,000 
$0 
$30,000 
$2,910,000 
Total 
$2,500,000 
$440,000 
$0 
$30,000 
$2,910,000 
Office of the State Comptroller 
  
  
  
  
  
Office of the State Comptroller 
$0 
$6,366,806 $1,920,615,333 
$1,926,862,139 
$120,000 
Total 
$0 
$6,366,806 $1,920,615,333 
$1,926,862,139 
$120,000 
Massachusetts Gaming 
Commission 
  
  
  
  
  
Massachusetts Gaming Commission 
$0 
$0 
$393,481,438 
$393,481,438 
$0 
Total 
$0 
$0 
$393,481,438 
$393,481,438 
$0 
Cannabis Control Commission 
  
  
  
  
  
Cannabis Control Commission 
$0 
$19,781,406 
$0 
$19,781,406 
$0 
Total 
$0 
$19,781,406"
